,movie_id,name,first_score,last_score,pageviews,genre
254,4726,Batman,-0.836,-0.5106,214854.53063241104,Action
20,4592959,All Quiet on the Western Front,-0.5994,-0.91,201793.81818181812,Action
1426,68485,Jurassic Park,0.25,0.3612,182321.412055336,Action
444,205013,Ghostbusters,-0.6124,0.3612,156404.95306324112,Action
655,19596597,Sherlock Holmes,-0.8779,-0.2023,153857.02404479578,Action
116,1009041,Fight Club,-0.4767,-0.296,139205.0284090909,Action
367,123417,The Matrix Reloaded,-0.3818,-0.4404,131467.95141633728,Action
1408,612052,Spider-Man 2,-0.3612,0.5423,125829.1222002635,Action
930,30045070,Catch Me If You Can,-0.7351,-0.7351,124704.16403162056,Action
848,362719,Superman,-0.5719,-0.2263,116111.82608695651,Action
1068,2572851,Beowulf,0.9136,-0.3071,99629.65563241109,Action
1089,4231,Buffy the Vampire Slayer,0.2263,-0.1531,98354.79528985509,Action
1800,4730,Batman Forever,-0.1531,0.4404,95289.2361660079,Action
841,34953010,Zero Dark Thirty,-0.4404,0.6705,89758.68165349144,Action
42,666923,The Lost World: Jurassic Park,0.3612,0.6597,88932.8262516469,Action
702,31557,"The Good, the Bad and the Ugly",-0.81,-0.4926,87691.03162055335,Action
1897,999394,Pirates of the Caribbean: Dead Man's Chest,-0.0772,-0.2023,86990.01350461131,Action
532,1689394,Pirates of the Caribbean: At World's End,-0.5423,0.6369,86294.80821805008,Action
153,1133816,Around the World in Eighty Days,0.4019,0.4019,85713.99925889328,Action
1363,3248340,Kung Fu Panda,0.5423,-0.5994,83450.28112648221,Action
74,2251266,Ocean's Eleven,-0.5574,-0.4939,82691.71805006589,Action
1095,154956,Ocean's Eleven,-0.8176,-0.6124,82691.71805006589,Action
39,565879,The Incredibles,0.765,-0.872,82388.71953227931,Action
453,4696764,The Three Musketeers,-0.9403,-0.3612,81036.10227272728,Action
1054,28397585,The Three Musketeers,0.5106,-0.1779,81036.10227272728,Action
392,11654754,The Three Musketeers,0.296,0.3612,81036.10227272728,Action
1806,143809,The Fifth Element,-0.6124,0.6369,77617.02486824768,Action
1237,17298593,Mission: Impossible – Ghost Protocol,-0.6705,0.5719,72682.70108695653,Action
1433,789903,Catwoman,0.743,0.7845,71931.98040184453,Action
1490,12064359,Cloverfield,0.5106,-0.5574,69249.08596837944,Action
1856,173944,The Lord of the Rings: The Two Towers,0.1779,-0.6908,68715.27470355731,Action
1593,268833,GoldenEye,-0.6124,0.2732,67623.38002305664,Action
643,22216,"O Brother, Where Art Thou?",-0.0772,-0.5574,67277.86050724638,Action
228,3793631,Children of Men,-0.7845,-0.3182,66972.62549407114,Action
1814,228274,The Last Samurai,-0.743,0.7351,66177.90678524374,Action
384,81503,Indiana Jones and the Temple of Doom,-0.4588,-0.296,65477.8409090909,Action
742,61519,A Tale of Two Cities,-0.5467,0.3612,64325.40184453228,Action
28,29446866,In Time,-0.296,-0.3182,64004.21739130435,Action
495,2982688,X-Men Origins: Wolverine,-0.6705,0.2144,60353.205286561264,Action
1699,28648635,X-Men: First Class,-0.5994,0.296,59599.69021739131,Action
59,2913859,The Fast and the Furious: Tokyo Drift,0.4588,0.2263,59505.65810276679,Action
741,872441,First Blood,0.8625,0.3612,58293.56884057971,Action
1883,28177876,Memories of Murder,-0.4767,-0.9201,56692.707509881424,Action
1332,8586619,Death Proof,0.7783,0.2732,56559.84313241107,Action
326,1519783,Fantastic Four,-0.296,0.5106,56137.01704545455,Action
233,25001260,Transformers: Dark of the Moon,-0.0772,0.34,55851.21739130435,Action
1866,1046470,Ocean's Twelve,0.5267,0.4939,54711.96475625823,Action
108,21835208,Zombieland,-0.2023,-0.1531,53483.32509881423,Action
1645,1082656,Superman Returns,-0.296,0.4215,50839.78063241106,Action
1475,2029825,X-Men: The Last Stand,0.0516,-0.1779,49990.22463768115,Action
103,4167411,Night at the Museum,-0.2732,0.1779,49761.15942028985,Action
1476,5204875,Gadar: Ek Prem Katha,0.6369,0.3818,49182.41954874835,Action
1854,842825,The Iron Giant,-0.296,0.4767,48208.295454545456,Action
1658,370858,Master and Commander: The Far Side of the World,-0.5574,-0.0516,47865.85597826087,Action
1075,32258845,Pain & Gain,-0.4215,0.7717,47816.24481225297,Action
41,957322,The Scorpion King,-0.0772,-0.34,46891.66996047431,Action
996,104984,Rocky IV,-0.4927,0.7783,46447.96475625823,Action
1575,99031,Butch Cassidy and the Sundance Kid,0.4588,-0.296,46337.40983201581,Action
288,166121,The World Is Not Enough,-0.875,0.5994,45349.00568181818,Action
387,12319832,Transformers: Revenge of the Fallen,0.2732,0.4215,45332.954545454544,Action
169,28085067,Fast Five,-0.6908,-0.6486,45110.39130434783,Action
1902,147697,Castle in the Sky,-0.8225,-0.1779,44646.05994729907,Action
1001,18394730,How to Train Your Dragon,-0.7269,-0.2023,44550.23978919631,Action
1006,21971275,Percy Jackson & the Olympians: The Lightning Thief,-0.6808,-0.8402,43361.98155467721,Action
927,648921,Face/Off,-0.743,0.7579,43287.4062911726,Action
285,407288,2 Fast 2 Furious,-0.7269,0.0258,43182.88825757576,Action
279,3217,Army of Darkness,-0.7269,-0.5994,42771.59453227931,Action
1899,513090,All Dogs Go to Heaven,0.4019,0.5106,42302.96648550725,Action
1125,844078,Smokey and the Bandit,0.5574,0.8402,41304.555418313576,Action
1229,24586901,Knight and Day,0.34,-0.6249,40789.92358366271,Action
1331,695249,Home Alone 3,-0.8591,-0.5106,40720.09692028985,Action
263,3826817,Far Cry,0.4019,0.1779,40667.33152173913,Action
1550,2886036,Talladega Nights: The Ballad of Ricky Bobby,-0.34,0.3612,40603.79907773386,Action
933,9835,Escape from New York,-0.128,-0.25,40258.00049407115,Action
352,18640429,Never Back Down,0.4019,0.7783,39042.66254940711,Action
1163,1752246,Live Free or Die Hard,-0.5719,0.6705,38995.13249341239,Action
1454,1695534,Ender's Game,0.1779,-0.3818,38153.73756587615,Action
893,18952889,"It's a Mad, Mad, Mad, Mad World",0.2023,0.2263,37840.41254940712,Action
1462,24522784,Maryada Ramanna,-0.8658,0.3818,36985.422924901184,Action
798,331586,Crocodile Dundee,0.4019,0.7553,36703.81818181818,Action
1552,49800,Lara Croft: Tomb Raider,0.34,0.3612,36464.03236166008,Action
493,583012,Rambo: First Blood Part II,-0.5859,0.3612,35816.042243083,Action
446,73444,Easy Rider,0.128,-0.6369,35789.840662055336,Action
